"work_year","experience_level","employment_type","job_title","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
2020,"Mid-level","Full Time","Data Scientist",79833,"DE","Stationary","DE","L"
2020,"Senior/Expert","Full Time","Machine Learning Scientist",260000,"JP","Stationary","JP","S"
2020,"Senior/Expert","Full Time","Big Data Engineer",109024,"GB","Partially remote","GB","M"
2020,"Mid-level","Full Time","Product Data Analyst",20000,"HN","Stationary","HN","S"
2020,"Senior/Expert","Full Time","Machine Learning Engineer",150000,"US","Partially remote","US","L"
2020,"Entry/Junior","Full Time","Data Analyst",72000,"US","Remote","US","L"
2020,"Senior/Expert","Full Time","Lead Data Scientist",190000,"US","Remote","US","S"
2020,"Mid-level","Full Time","Data Scientist",35735,"HU","Partially remote","HU","L"
2020,"Mid-level","Full Time","Business Data Analyst",135000,"US","Remote","US","L"
2020,"Senior/Expert","Full Time","Lead Data Engineer",125000,"NZ","Partially remote","NZ","S"
2020,"Entry/Junior","Full Time","Data Scientist",51321,"FR","Stationary","FR","S"
2020,"Mid-level","Full Time","Data Scientist",40481,"IN","Stationary","IN","L"
2020,"Entry/Junior","Full Time","Data Scientist",39916,"FR","Stationary","FR","M"
2020,"Mid-level","Full Time","Lead Data Analyst",87000,"US","Remote","US","L"
2020,"Mid-level","Full Time","Data Analyst",85000,"US","Remote","US","L"
2020,"Mid-level","Full Time","Data Analyst",8000,"PK","Partially remote","PK","L"
2020,"Entry/Junior","Full Time","Data Engineer",41689,"JP","Remote","JP","S"
2020,"Senior/Expert","Full Time","Big Data Engineer",114047,"PL","Remote","GB","S"
2020,"Entry/Junior","Full Time","Data Science Consultant",5707,"IN","Partially remote","IN","M"
2020,"Mid-level","Full Time","Lead Data Engineer",56000,"PT","Remote","US","M"
2020,"Mid-level","Full Time","Machine Learning Engineer",43331,"CN","Stationary","CN","M"
2020,"Mid-level","Full Time","Product Data Analyst",6072,"IN","Remote","IN","L"
2020,"Senior/Expert","Full Time","Data Engineer",47899,"GR","Partially remote","GR","L"
2020,"Mid-level","Full Time","BI Data Analyst",98000,"US","Stationary","US","M"
2020,"Mid-level","Full Time","Lead Data Scientist",115000,"AE","Stationary","AE","L"
2020,"Executive","Full Time","Director of Data Science",325000,"US","Remote","US","L"
2020,"Entry/Junior","Full Time","Research Scientist",42000,"NL","Partially remote","NL","L"
2020,"Senior/Expert","Full Time","Data Engineer",33511,"MX","Stationary","MX","S"
2020,"Entry/Junior","Contract","Business Data Analyst",100000,"US","Remote","US","L"
2020,"Senior/Expert","Full Time","Machine Learning Manager",117104,"CA","Partially remote","CA","L"
2020,"Mid-level","Full Time","Data Engineering Manager",59303,"DE","Remote","DE","S"
2020,"Entry/Junior","Full Time","Big Data Engineer",70000,"US","Remote","US","L"
2020,"Senior/Expert","Full Time","Data Scientist",68428,"GR","Remote","US","L"
2020,"Mid-level","Full Time","Research Scientist",450000,"US","Stationary","US","M"
2020,"Mid-level","Full Time","Data Analyst",46759,"FR","Partially remote","FR","L"
2020,"Mid-level","Full Time","Data Engineer",74130,"AT","Partially remote","AT","L"
2020,"Mid-level","Full Time","Data Science Consultant",103000,"US","Remote","US","L"
2020,"Entry/Junior","Full Time","Machine Learning Engineer",250000,"US","Partially remote","US","L"
2020,"Entry/Junior","Full Time","Data Analyst",10000,"NG","Remote","NG","S"
2020,"Entry/Junior","Full Time","Machine Learning Engineer",138000,"US","Remote","US","S"
2020,"Mid-level","Full Time","Data Scientist",45760,"PH","Remote","US","S"
2020,"Executive","Full Time","Data Engineering Manager",79833,"ES","Partially remote","ES","L"
2020,"Mid-level","Full Time","Machine Learning Infrastructure Engineer",50180,"PT","Stationary","PT","M"
2020,"Mid-level","Full Time","Data Engineer",106000,"US","Remote","US","L"
2020,"Mid-level","Full Time","Data Engineer",112872,"GB","Partially remote","GB","L"
2020,"Entry/Junior","Part Time","ML Engineer",15966,"DE","Remote","DE","S"
2020,"Mid-level","Full Time","Data Scientist",76958,"GB","Remote","GB","S"
2020,"Senior/Expert","Full Time","Data Engineer",188000,"US","Remote","US","L"
2020,"Mid-level","Full Time","Data Scientist",105000,"US","Remote","US","L"
2020,"Mid-level","Full Time","Data Engineer",70139,"FR","Partially remote","FR","L"
2020,"Entry/Junior","Full Time","Data Analyst",6072,"IN","Stationary","IN","S"
2020,"Entry/Junior","Full Time","Data Analyst",91000,"US","Remote","US","L"
2020,"Entry/Junior","Full Time","AI Scientist",45896,"DK","Partially remote","DK","S"
2020,"Entry/Junior","Full Time","Data Engineer",54742,"PK","Remote","DE","L"
2020,"Senior/Expert","Freelance","Computer Vision Engineer",60000,"RU","Remote","US","S"
2020,"Senior/Expert","Full Time","Principal Data Scientist",148261,"DE","Remote","DE","M"
2020,"Mid-level","Full Time","Data Scientist",38776,"ES","Remote","ES","M"
2020,"Mid-level","Full Time","Data Scientist",118000,"US","Remote","US","M"
2020,"Senior/Expert","Full Time","Data Scientist",120000,"US","Partially remote","US","L"
2020,"Mid-level","Full Time","Data Scientist",138350,"US","Remote","US","M"
2020,"Mid-level","Full Time","Data Engineer",110000,"US","Remote","US","L"
2020,"Mid-level","Full Time","Data Engineer",130800,"ES","Remote","US","M"
2020,"Entry/Junior","Part Time","Data Scientist",21669,"IT","Partially remote","IT","S"
2020,"Senior/Expert","Full Time","Data Scientist",412000,"US","Remote","US","L"
2020,"Senior/Expert","Full Time","Machine Learning Engineer",45618,"HR","Remote","HR","S"
2020,"Entry/Junior","Full Time","Data Scientist",62726,"DE","Partially remote","DE","S"
2020,"Entry/Junior","Full Time","Data Scientist",49268,"DE","Stationary","DE","S"
2020,"Senior/Expert","Full Time","Data Science Manager",190200,"US","Remote","US","M"
2020,"Entry/Junior","Full Time","Data Scientist",105000,"US","Remote","US","S"
2020,"Senior/Expert","Full Time","Data Scientist",91237,"AT","Stationary","AT","S"
2020,"Mid-level","Full Time","Data Scientist",62726,"FR","Partially remote","LU","S"
2020,"Mid-level","Full Time","Data Scientist",42197,"FR","Partially remote","FR","S"
2021,"Entry/Junior","Full Time","Research Scientist",82528,"GB","Partially remote","GB","L"
2021,"Executive","Full Time","BI Data Analyst",150000,"IN","Remote","US","L"
2021,"Executive","Full Time","Head of Data",235000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Data Scientist",53192,"FR","Partially remote","FR","L"
2021,"Mid-level","Full Time","BI Data Analyst",100000,"US","Remote","US","M"
2021,"Mid-level","Part Time","3D Computer Vision Researcher",5409,"IN","Partially remote","IN","M"
2021,"Mid-level","Contract","ML Engineer",270000,"US","Remote","US","L"
2021,"Entry/Junior","Full Time","Data Analyst",80000,"US","Remote","US","M"
2021,"Senior/Expert","Full Time","Data Analytics Engineer",79197,"DE","Remote","DE","L"
2021,"Mid-level","Full Time","Data Engineer",140000,"US","Remote","US","L"
2021,"Mid-level","Full Time","Applied Data Scientist",54238,"GB","Partially remote","CA","L"
2021,"Mid-level","Full Time","Machine Learning Engineer",47282,"ES","Remote","ES","S"
2021,"Executive","Full Time","Director of Data Science",153667,"IT","Remote","PL","L"
2021,"Mid-level","Full Time","Data Engineer",28476,"PL","Remote","PL","L"
2021,"Entry/Junior","Full Time","Data Analyst",59102,"FR","Partially remote","FR","M"
2021,"Mid-level","Full Time","Data Analytics Engineer",110000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Lead Data Analyst",170000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Data Analyst",80000,"BG","Remote","US","S"
2021,"Senior/Expert","Full Time","Marketing Data Analyst",88654,"GR","Remote","DK","L"
2021,"Entry/Junior","Full Time","Data Science Consultant",76833,"DE","Remote","DE","S"
2021,"Mid-level","Full Time","Lead Data Analyst",19609,"IN","Remote","IN","L"
2021,"Senior/Expert","Full Time","Lead Data Engineer",276000,"US","Stationary","US","L"
2021,"Entry/Junior","Full Time","Data Scientist",29751,"IN","Partially remote","IN","L"
2021,"Mid-level","Full Time","Cloud Data Engineer",89294,"SG","Partially remote","SG","L"
2021,"Entry/Junior","Part Time","AI Scientist",12000,"BR","Remote","US","S"
2021,"Mid-level","Full Time","Financial Data Analyst",450000,"US","Remote","US","L"
2021,"Entry/Junior","Full Time","Computer Vision Software Engineer",70000,"US","Remote","US","M"
2021,"Mid-level","Full Time","Computer Vision Software Engineer",95746,"DE","Remote","US","S"
2021,"Mid-level","Full Time","Data Analyst",75000,"US","Stationary","US","L"
2021,"Senior/Expert","Full Time","Data Engineer",150000,"US","Remote","US","L"
2021,"Mid-level","Full Time","BI Data Analyst",36259,"HU","Partially remote","US","L"
2021,"Mid-level","Full Time","Data Analyst",62000,"US","Stationary","US","L"
2021,"Mid-level","Full Time","Data Scientist",73000,"US","Stationary","US","L"
2021,"Mid-level","Full Time","Data Analyst",51519,"GB","Partially remote","GB","L"
2021,"Mid-level","Full Time","Research Scientist",187442,"CA","Remote","CA","L"
2021,"Senior/Expert","Full Time","Data Engineer",115000,"US","Remote","US","S"
2021,"Senior/Expert","Full Time","Data Engineer",150000,"US","Remote","US","M"
2021,"Entry/Junior","Full Time","Data Engineer",30428,"IN","Remote","IN","L"
2021,"Senior/Expert","Full Time","Machine Learning Engineer",94564,"DE","Partially remote","DE","L"
2021,"Senior/Expert","Full Time","Director of Data Engineering",113476,"GB","Remote","GB","M"
2021,"Senior/Expert","Full Time","Lead Data Engineer",103160,"GB","Remote","GB","S"
2021,"Entry/Junior","Part Time","AI Scientist",12000,"PK","Remote","US","M"
2021,"Mid-level","Full Time","Data Engineer",45391,"NL","Remote","NL","L"
2021,"Entry/Junior","Full Time","Machine Learning Scientist",225000,"US","Remote","US","L"
2021,"Mid-level","Full Time","Data Scientist",50000,"NG","Remote","NG","L"
2021,"Mid-level","Full Time","Data Science Engineer",40189,"GR","Remote","GR","M"
2021,"Entry/Junior","Full Time","Data Analyst",90000,"US","Remote","US","S"
2021,"Mid-level","Full Time","Data Engineer",200000,"US","Remote","US","L"
2021,"Mid-level","Full Time","Big Data Engineer",60000,"ES","Partially remote","RO","M"
2021,"Senior/Expert","Full Time","Principal Data Engineer",200000,"US","Remote","US","M"
2021,"Entry/Junior","Full Time","Data Analyst",50000,"US","Remote","US","M"
2021,"Entry/Junior","Full Time","Applied Data Scientist",110037,"GB","Stationary","GB","L"
2021,"Entry/Junior","Part Time","Data Analyst",10354,"ES","Partially remote","ES","M"
2021,"Mid-level","Full Time","Principal Data Scientist",151000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Machine Learning Scientist",120000,"US","Partially remote","US","S"
2021,"Mid-level","Full Time","Data Scientist",9466,"IN","Stationary","IN","S"
2021,"Entry/Junior","Full Time","Machine Learning Engineer",20000,"IN","Remote","IN","S"
2021,"Senior/Expert","Full Time","Lead Data Scientist",40570,"IN","Partially remote","IN","L"
2021,"Entry/Junior","Full Time","Machine Learning Developer",100000,"IQ","Partially remote","IQ","S"
2021,"Entry/Junior","Full Time","Data Scientist",49646,"FR","Partially remote","FR","M"
2021,"Mid-level","Full Time","Applied Machine Learning Scientist",38400,"VN","Remote","US","M"
2021,"Senior/Expert","Full Time","Computer Vision Engineer",24000,"BR","Remote","BR","M"
2021,"Entry/Junior","Full Time","Data Scientist",100000,"US","Stationary","US","S"
2021,"Mid-level","Full Time","Data Analyst",90000,"US","Remote","US","M"
2021,"Mid-level","Full Time","ML Engineer",63711,"JP","Partially remote","JP","S"
2021,"Mid-level","Full Time","ML Engineer",77364,"JP","Partially remote","JP","S"
2021,"Senior/Expert","Full Time","Principal Data Scientist",220000,"US","Stationary","US","L"
2021,"Entry/Junior","Full Time","Data Scientist",80000,"US","Remote","US","M"
2021,"Mid-level","Full Time","Data Analyst",135000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Data Science Manager",240000,"US","Stationary","US","L"
2021,"Senior/Expert","Full Time","Data Engineering Manager",150000,"US","Stationary","US","L"
2021,"Mid-level","Full Time","Data Scientist",82500,"US","Remote","US","S"
2021,"Mid-level","Full Time","Data Engineer",100000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Machine Learning Engineer",82744,"BE","Partially remote","BE","M"
2021,"Mid-level","Full Time","Research Scientist",62649,"FR","Partially remote","FR","M"
2021,"Mid-level","Full Time","Data Engineer",90000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Data Engineering Manager",153000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Cloud Data Engineer",160000,"BR","Remote","US","S"
2021,"Senior/Expert","Full Time","Director of Data Science",168000,"JP","Stationary","JP","S"
2021,"Mid-level","Full Time","Data Scientist",150000,"US","Remote","US","M"
2021,"Mid-level","Full Time","Data Scientist",75774,"CA","Remote","CA","L"
2021,"Entry/Junior","Full Time","Data Scientist",13400,"UA","Remote","UA","L"
2021,"Senior/Expert","Full Time","Data Science Manager",144000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Data Science Engineer",127221,"CA","Partially remote","CA","L"
2021,"Mid-level","Full Time","Data Scientist",119059,"SG","Remote","IL","M"
2021,"Mid-level","Full Time","Applied Machine Learning Scientist",423000,"US","Partially remote","US","L"
2021,"Senior/Expert","Full Time","Data Analytics Manager",120000,"US","Remote","US","M"
2021,"Entry/Junior","Full Time","Machine Learning Engineer",125000,"US","Remote","US","S"
2021,"Executive","Full Time","Head of Data",230000,"RU","Partially remote","RU","L"
2021,"Executive","Full Time","Head of Data Science",85000,"RU","Stationary","RU","M"
2021,"Mid-level","Full Time","Data Engineer",28369,"MT","Partially remote","MT","L"
2021,"Entry/Junior","Full Time","Data Science Consultant",63831,"DE","Partially remote","DE","L"
2021,"Executive","Full Time","Director of Data Science",130026,"DE","Partially remote","DE","M"
2021,"Senior/Expert","Full Time","Data Specialist",165000,"US","Remote","US","L"
2021,"Entry/Junior","Full Time","Data Engineer",80000,"US","Remote","US","L"
2021,"Executive","Full Time","Director of Data Science",250000,"US","Stationary","US","L"
2021,"Entry/Junior","Full Time","BI Data Analyst",55000,"US","Partially remote","US","S"
2021,"Mid-level","Full Time","Data Architect",150000,"US","Remote","US","L"
2021,"Mid-level","Full Time","Data Architect",170000,"US","Remote","US","L"
2021,"Mid-level","Full Time","Data Engineer",82528,"GB","Remote","GB","L"
2021,"Entry/Junior","Full Time","Data Analyst",60000,"US","Remote","US","S"
2021,"Senior/Expert","Full Time","Principal Data Scientist",235000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Research Scientist",60757,"PT","Partially remote","PT","L"
2021,"Senior/Expert","Full Time","Data Engineering Manager",174000,"US","Remote","US","L"
2021,"Mid-level","Full Time","Data Scientist",2859,"MX","Stationary","MX","S"
2021,"Mid-level","Full Time","Data Scientist",40038,"CL","Remote","CL","L"
2021,"Entry/Junior","Full Time","Machine Learning Engineer",81000,"US","Partially remote","US","S"
2021,"Mid-level","Full Time","Data Scientist",5679,"IN","Remote","US","S"
2021,"Mid-level","Full Time","Big Data Engineer",22611,"IN","Stationary","IN","L"
2021,"Mid-level","Full Time","Data Scientist",90734,"DE","Partially remote","DE","L"
2021,"Mid-level","Full Time","Data Engineer",26005,"RO","Stationary","US","L"
2021,"Senior/Expert","Full Time","Finance Data Analyst",61896,"GB","Partially remote","GB","L"
2021,"Mid-level","Freelance","Machine Learning Scientist",12000,"PK","Partially remote","PK","M"
2021,"Mid-level","Full Time","Data Engineer",4000,"IR","Remote","IR","M"
2021,"Senior/Expert","Full Time","Data Analytics Engineer",50000,"VN","Remote","GB","M"
2021,"Executive","Full Time","Data Science Consultant",69741,"FR","Remote","ES","S"
2021,"Senior/Expert","Full Time","Data Engineer",76833,"RO","Partially remote","GB","S"
2021,"Mid-level","Full Time","Machine Learning Engineer",74000,"JP","Partially remote","JP","S"
2021,"Senior/Expert","Full Time","Data Science Manager",152000,"US","Remote","FR","L"
2021,"Entry/Junior","Full Time","Machine Learning Engineer",21844,"CO","Partially remote","CO","M"
2021,"Mid-level","Full Time","Big Data Engineer",18000,"MD","Stationary","MD","S"
2021,"Senior/Expert","Full Time","Data Science Manager",174000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Research Scientist",96113,"CA","Partially remote","CA","L"
2021,"Mid-level","Full Time","Data Scientist",147000,"US","Partially remote","US","L"
2021,"Entry/Junior","Full Time","BI Data Analyst",9272,"KE","Remote","KE","S"
2021,"Senior/Expert","Full Time","Machine Learning Engineer",24342,"IN","Remote","IN","L"
2021,"Senior/Expert","Full Time","Data Science Manager",54094,"IN","Partially remote","US","L"
2021,"Entry/Junior","Full Time","Data Science Consultant",90000,"US","Remote","US","S"
2021,"Mid-level","Full Time","Data Scientist",61467,"DE","Partially remote","AT","M"
2021,"Senior/Expert","Full Time","Machine Learning Infrastructure Engineer",195000,"US","Remote","US","M"
2021,"Mid-level","Full Time","Data Scientist",37825,"ES","Remote","ES","L"
2021,"Senior/Expert","Full Time","Research Scientist",50000,"FR","Remote","US","S"
2021,"Mid-level","Full Time","Data Scientist",160000,"US","Remote","US","L"
2021,"Mid-level","Full Time","Data Scientist",12901,"BR","Stationary","BR","S"
2021,"Senior/Expert","Full Time","Machine Learning Engineer",200000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Data Engineer",165000,"US","Stationary","US","M"
2021,"Mid-level","Freelance","Data Engineer",20000,"IT","Stationary","US","L"
2021,"Senior/Expert","Full Time","Data Analytics Manager",120000,"US","Stationary","US","L"
2021,"Mid-level","Full Time","Machine Learning Engineer",24823,"SI","Partially remote","SI","L"
2021,"Mid-level","Full Time","Research Scientist",56738,"FR","Partially remote","FR","S"
2021,"Mid-level","Full Time","Data Engineer",66022,"HK","Partially remote","GB","S"
2021,"Entry/Junior","Full Time","Big Data Engineer",5882,"IN","Stationary","CH","L"
2021,"Entry/Junior","Full Time","Machine Learning Engineer",24823,"DE","Partially remote","DE","M"
2021,"Senior/Expert","Full Time","Principal Data Engineer",185000,"US","Remote","US","L"
2021,"Entry/Junior","Part Time","Computer Vision Engineer",28609,"DK","Partially remote","DK","S"
2021,"Mid-level","Full Time","Data Scientist",90734,"DE","Partially remote","DE","L"
2021,"Mid-level","Full Time","Machine Learning Engineer",88654,"BE","Remote","BE","M"
2021,"Senior/Expert","Full Time","Data Analytics Manager",140000,"US","Remote","US","L"
2021,"Mid-level","Full Time","Machine Learning Engineer",46597,"PL","Remote","PL","L"
2021,"Mid-level","Full Time","Data Scientist",116914,"GB","Partially remote","GB","L"
2021,"Mid-level","Full Time","Data Scientist",33808,"IN","Stationary","IN","M"
2021,"Mid-level","Full Time","Data Scientist",56256,"GB","Partially remote","GB","L"
2021,"Senior/Expert","Full Time","Machine Learning Scientist",225000,"US","Remote","CA","L"
2021,"Executive","Contract","Principal Data Scientist",416000,"US","Remote","US","S"
2021,"Senior/Expert","Full Time","Data Scientist",87738,"CA","Remote","CA","S"
2021,"Mid-level","Full Time","Data Scientist",88654,"DE","Partially remote","DE","L"
2021,"Senior/Expert","Full Time","Data Scientist",135000,"US","Stationary","US","L"
2021,"Senior/Expert","Full Time","Data Analyst",71786,"CA","Remote","CA","M"
2021,"Entry/Junior","Full Time","Big Data Engineer",16228,"IN","Remote","IN","L"
2021,"Senior/Expert","Full Time","ML Engineer",256000,"US","Remote","US","S"
2021,"Senior/Expert","Full Time","Director of Data Engineering",200000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Data Analyst",200000,"US","Remote","US","L"
2021,"Mid-level","Full Time","Data Architect",180000,"US","Remote","US","L"
2021,"Mid-level","Full Time","Head of Data Science",110000,"US","Stationary","US","S"
2021,"Mid-level","Full Time","Research Scientist",63810,"CA","Remote","CA","M"
2021,"Mid-level","Full Time","Data Scientist",46809,"ES","Remote","ES","M"
2021,"Entry/Junior","Full Time","Data Scientist",4000,"VN","Stationary","VN","M"
2021,"Entry/Junior","Full Time","Data Engineer",21637,"IN","Partially remote","IN","M"
2021,"Senior/Expert","Full Time","Data Scientist",103691,"CA","Remote","CA","L"
2021,"Mid-level","Full Time","Data Analyst",80000,"US","Remote","US","L"
2021,"Mid-level","Full Time","Data Engineer",110000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Data Scientist",165000,"US","Remote","US","L"
2021,"Entry/Junior","Full Time","AI Scientist",18053,"IN","Remote","AS","S"
2021,"Mid-level","Full Time","Data Engineer",72212,"GB","Partially remote","GB","L"
2021,"Entry/Junior","Full Time","Data Scientist",36643,"FR","Partially remote","FR","L"
2021,"Mid-level","Full Time","Data Engineer",12103,"TR","Stationary","TR","M"
2021,"Senior/Expert","Full Time","Data Engineer",96282,"GB","Partially remote","GB","L"
2021,"Senior/Expert","Full Time","Principal Data Analyst",170000,"US","Remote","US","M"
2021,"Mid-level","Full Time","Data Scientist",115000,"US","Partially remote","US","L"
2021,"Entry/Junior","Full Time","Data Scientist",90000,"US","Remote","US","S"
2021,"Executive","Full Time","Principal Data Engineer",600000,"US","Remote","US","L"
2021,"Entry/Junior","Full Time","Data Scientist",28399,"IN","Remote","IN","M"
2021,"Mid-level","Full Time","Data Analyst",93000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Big Data Architect",99703,"CA","Partially remote","CA","M"
2021,"Mid-level","Full Time","Data Engineer",200000,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Principal Data Scientist",173762,"DE","Remote","DE","M"
2021,"Senior/Expert","Full Time","Machine Learning Engineer",185000,"US","Partially remote","US","L"
2021,"Executive","Full Time","Director of Data Science",141846,"DE","Stationary","DE","L"
2021,"Mid-level","Full Time","Data Scientist",130000,"US","Partially remote","US","L"
2021,"Senior/Expert","Full Time","Data Analyst",63831,"DE","Partially remote","DE","L"
2021,"Mid-level","Full Time","Data Scientist",16904,"IN","Remote","IN","S"
2021,"Senior/Expert","Full Time","Machine Learning Engineer",66265,"IN","Stationary","IN","L"
2021,"Mid-level","Full Time","Data Scientist",25532,"RS","Remote","DE","S"
2021,"Senior/Expert","Full Time","Lead Data Engineer",160000,"PR","Partially remote","US","S"
2021,"Mid-level","Full Time","Data Engineer",93150,"US","Stationary","US","M"
2021,"Mid-level","Full Time","Data Engineer",111775,"US","Stationary","US","M"
2021,"Mid-level","Full Time","Data Engineer",28016,"TR","Remote","TR","M"
2021,"Entry/Junior","Full Time","Data Engineer",65013,"DE","Partially remote","DE","M"
2021,"Entry/Junior","Full Time","Data Engineer",72500,"US","Remote","US","L"
2021,"Senior/Expert","Full Time","Computer Vision Engineer",18907,"BR","Stationary","BR","M"
2021,"Entry/Junior","Full Time","Data Science Consultant",76833,"DE","Stationary","DE","L"
2021,"Entry/Junior","Full Time","Machine Learning Engineer",85000,"NL","Remote","DE","S"
2021,"Senior/Expert","Full Time","Data Scientist",77684,"FR","Partially remote","FR","M"
2021,"Entry/Junior","Full Time","Data Scientist",100000,"US","Remote","US","M"
2021,"Entry/Junior","Full Time","Data Scientist",58000,"US","Partially remote","US","L"
2021,"Senior/Expert","Full Time","AI Scientist",55000,"ES","Remote","ES","L"
2021,"Senior/Expert","Full Time","Data Scientist",20171,"TR","Partially remote","TR","L"
2021,"Entry/Junior","Full Time","Business Data Analyst",59102,"LU","Remote","LU","L"
2021,"Mid-level","Full Time","Data Engineer",112000,"US","Remote","US","L"
2021,"Entry/Junior","Full Time","Research Scientist",100000,"JE","Stationary","CN","L"
2021,"Mid-level","Part Time","Data Engineer",69741,"NL","Remote","NL","L"
2021,"Senior/Expert","Contract","Staff Data Scientist",105000,"US","Remote","US","M"
2021,"Mid-level","Full Time","Research Scientist",69999,"CZ","Partially remote","CZ","L"
2021,"Senior/Expert","Full Time","Data Science Manager",94665,"IN","Partially remote","IN","L"
2021,"Senior/Expert","Full Time","Head of Data",102839,"SI","Remote","SI","L"
2021,"Mid-level","Full Time","Data Scientist",109000,"US","Partially remote","US","L"
2021,"Mid-level","Full Time","Machine Learning Engineer",51064,"IT","Partially remote","IT","L"
2022,"Senior/Expert","Full Time","Data Engineer",135000,"US","Remote","US","M"
2022,"Senior/Expert","Full Time","Data Analyst",155000,"US","Remote","US","M"
2022,"Senior/Expert","Full Time","Data Analyst",120600,"US","Remote","US","M"
2022,"Mid-level","Full Time","Data Scientist",130000,"US","Stationary","US","M"
2022,"Mid-level","Full Time","Data Scientist",90000,"US","Stationary","US","M"
2022,"Mid-level","Full Time","Data Engineer",170000,"US","Remote","US","M"
2022,"Mid-level","Full Time","Data Engineer",150000,"US","Remote","US","M"
